age	state	a1c_6.5+_(%)	dm_(%)	n_all_patients	Year
35-44 Years	Mississippi	6.60%	10.78%	166068	1/1/2025 - 10/30/2025
35-44 Years	Kentucky	6.01%	9.55%	278851	1/1/2025 - 10/30/2025
35-44 Years	Delaware	6.12%	9.47%	36271	1/1/2025 - 10/30/2025
35-44 Years	Indiana	6.11%	9.80%	278394	1/1/2025 - 10/30/2025
35-44 Years	North Carolina	5.71%	8.80%	617976	1/1/2025 - 10/30/2025
35-44 Years	South Carolina	5.59%	9.22%	340810	1/1/2025 - 10/30/2025
35-44 Years	Ohio	5.41%	8.59%	950040	1/1/2025 - 10/30/2025
35-44 Years	West Virginia	5.42%	9.97%	97666	1/1/2025 - 10/30/2025
35-44 Years	Illinois	6.00%	9.00%	540781	1/1/2025 - 10/30/2025
35-44 Years	Maine	4.58%	6.50%	70625	1/1/2025 - 10/30/2025
35-44 Years	Maryland	4.67%	8.23%	192243	1/1/2025 - 10/30/2025
35-44 Years	New Jersey	4.34%	7.49%	326509	1/1/2025 - 10/30/2025
35-44 Years	Kansas	4.67%	7.95%	100480	1/1/2025 - 10/30/2025
35-44 Years	Missouri	5.09%	8.28%	106185	1/1/2025 - 10/30/2025
35-44 Years	Pennsylvania	4.12%	6.88%	792447	1/1/2025 - 10/30/2025
35-44 Years	Michigan	4.53%	7.30%	555387	1/1/2025 - 10/30/2025
35-44 Years	Virginia	4.63%	7.58%	482614	1/1/2025 - 10/30/2025
35-44 Years	New York	4.18%	7.07%	662966	1/1/2025 - 10/30/2025
35-44 Years	Rhode Island	4.54%	7.56%	66080	1/1/2025 - 10/30/2025
35-44 Years	Oklahoma	5.75%	9.67%	115373	1/1/2025 - 10/30/2025
35-44 Years	Minnesota	4.99%	7.47%	261530	1/1/2025 - 10/30/2025
35-44 Years	Wisconsin	5.33%	7.24%	323678	1/1/2025 - 10/30/2025
35-44 Years	Hawaii	5.11%	9.10%	61170	1/1/2025 - 10/30/2025
35-44 Years	Iowa	5.68%	8.36%	189570	1/1/2025 - 10/30/2025
35-44 Years	New Mexico	4.91%	8.76%	25012	1/1/2025 - 10/30/2025
35-44 Years	Massachusetts	4.25%	6.61%	371085	1/1/2025 - 10/30/2025
35-44 Years	Nebraska	4.79%	8.14%	85757	1/1/2025 - 10/30/2025
35-44 Years	Louisiana	4.57%	8.92%	243613	1/1/2025 - 10/30/2025
35-44 Years	Idaho	4.68%	7.32%	93102	1/1/2025 - 10/30/2025
35-44 Years	Tennessee	4.79%	9.34%	134983	1/1/2025 - 10/30/2025
35-44 Years	New Hampshire	3.98%	5.83%	50781	1/1/2025 - 10/30/2025
35-44 Years	Georgia	4.78%	8.98%	313753	1/1/2025 - 10/30/2025
35-44 Years	Arizona	5.41%	7.51%	157698	1/1/2025 - 10/30/2025
35-44 Years	Arkansas	5.71%	10.27%	84432	1/1/2025 - 10/30/2025
35-44 Years	Connecticut	3.63%	7.18%	280687	1/1/2025 - 10/30/2025
35-44 Years	Wyoming	3.86%	6.72%	16203	1/1/2025 - 10/30/2025
35-44 Years	Florida	4.23%	8.15%	781777	1/1/2025 - 10/30/2025
35-44 Years	Oregon	4.33%	7.05%	220743	1/1/2025 - 10/30/2025
35-44 Years	Texas	5.02%	9.69%	1177217	1/1/2025 - 10/30/2025
