,Measures,Percentage with Has Any Encounters? preceded by Diagnosis (All): Obesity CCW definition within 24 months (%),,,,,,,,,,,Percentage with Has Any Encounters? preceded by BMI 30.0  or more within 24 months (%),,,,,,,,,,,Number of Patients,,,,,,,,,,
,,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026
Age at Encounter in Years,State of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Carolina,13.37%,16.34%,19.34%,21.90%,24.31%,23.45%,26.62%,27.96%,28.27%,27.96%,27.38%,39.14%,40.39%,41.43%,42.60%,43.92%,41.30%,43.14%,43.83%,44.00%,43.42%,43.53%,699910,779806,867037,968763,1003139,1253653,1314762,1413482,1583202,1657903,1369818
,Arkansas,11.95%,14.50%,16.91%,18.22%,20.76%,22.98%,24.51%,28.11%,29.65%,30.99%,33.87%,37.13%,38.82%,39.95%,39.90%,40.29%,39.96%,39.64%,40.17%,40.06%,40.70%,42.86%,112155,131188,141660,161444,167996,187914,188080,197715,209435,214818,150950
,Louisiana,18.31%,24.54%,25.57%,26.92%,26.95%,25.89%,26.76%,28.60%,29.59%,30.71%,31.29%,39.13%,40.60%,41.64%,43.31%,43.83%,41.67%,42.36%,43.43%,44.32%,45.29%,45.72%,236927,262453,300924,332215,351315,396232,443964,478439,529763,553784,458196
,North Dakota,16.78%,20.88%,24.29%,27.28%,28.22%,28.60%,28.77%,29.99%,30.70%,32.15%,32.56%,45.20%,46.13%,45.49%,45.46%,44.88%,44.62%,44.12%,44.44%,46.15%,47.74%,48.45%,71410,75688,79322,84572,89113,94661,99415,104757,115601,119404,98494
,Indiana,13.65%,18.53%,23.29%,25.83%,27.18%,26.06%,25.94%,27.52%,28.58%,29.82%,30.59%,41.53%,42.64%,44.25%,45.73%,46.44%,46.59%,47.02%,47.40%,47.30%,47.63%,48.00%,308683,343106,374267,404142,421772,484973,520666,544343,567636,586195,464468
,Nova Scotia,,,,,,,,,13.83%,,,,23.64%,18.64%,23.53%,25.00%,,21.13%,15.38%,29.79%,27.14%,35.00%,51,55,59,68,48,48,71,91,94,70,40
,Sonora,,,,,,,,,,,,,,,,,,,,,,,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer
,Rhode Island,9.95%,12.85%,16.56%,19.04%,20.55%,23.10%,23.82%,24.12%,25.34%,26.98%,28.29%,24.26%,28.08%,30.08%,32.14%,33.15%,33.37%,34.09%,36.83%,36.54%,38.20%,40.41%,86742,98936,104084,109940,110856,122745,132473,142896,159355,158780,119946
,Iowa,16.93%,20.47%,22.43%,23.12%,22.94%,22.69%,23.62%,25.21%,26.97%,29.99%,30.36%,41.30%,43.15%,44.10%,44.76%,44.46%,44.03%,44.76%,45.53%,46.70%,48.46%,49.15%,206113,218889,230915,244210,254287,278725,287590,306971,330802,380600,306324
,Delaware,6.06%,10.98%,17.57%,22.18%,23.98%,25.14%,27.77%,28.96%,30.09%,29.70%,28.20%,28.45%,34.82%,39.20%,42.36%,44.38%,44.72%,46.57%,47.00%,47.51%,46.21%,44.63%,35815,49835,56674,63370,67738,80634,85118,94010,101308,118850,100540
,South Carolina,9.36%,12.25%,16.44%,18.94%,20.24%,19.15%,21.61%,23.37%,24.92%,25.23%,25.21%,32.68%,35.30%,37.65%,39.18%,40.02%,38.08%,40.39%,42.06%,43.23%,42.89%,42.93%,258357,323358,351605,409228,449872,586790,684809,776342,830840,864753,729421
,Massachusetts,12.88%,13.27%,15.69%,20.21%,22.36%,22.58%,22.89%,24.28%,24.27%,24.23%,25.45%,31.72%,31.76%,34.94%,37.41%,38.07%,36.93%,36.87%,38.30%,38.82%,37.37%,38.16%,234914,309509,369390,391715,402517,454817,531726,584881,700166,780833,633786
,Maryland,8.92%,11.99%,16.15%,20.85%,22.10%,21.55%,23.30%,24.60%,25.38%,26.65%,28.71%,34.24%,36.37%,36.84%,39.05%,39.69%,37.52%,39.20%,40.57%,40.99%,41.75%,43.66%,148305,187428,231950,270448,299241,365524,372823,391633,412670,429079,311956
,Tennessee,8.94%,9.85%,12.72%,15.14%,17.00%,17.86%,19.45%,21.49%,21.80%,23.36%,25.46%,35.79%,35.04%,36.74%,37.90%,37.82%,36.74%,37.90%,37.93%,36.72%,39.75%,42.69%,109188,143604,164952,180382,194049,232132,249972,270803,325041,387511,283025
,Wisconsin,16.15%,17.58%,19.35%,20.98%,22.14%,23.76%,27.11%,28.95%,30.51%,32.13%,32.56%,43.56%,43.95%,44.72%,45.34%,44.82%,44.40%,45.68%,45.90%,46.15%,46.85%,46.97%,439494,471651,500766,528448,566679,638305,642036,671916,699494,716286,589269
,Missouri,10.39%,13.62%,16.62%,18.72%,20.33%,21.85%,24.60%,25.50%,26.75%,27.87%,28.93%,36.57%,39.91%,41.99%,43.83%,44.47%,42.46%,43.21%,44.26%,44.62%,45.05%,46.69%,106437,127571,142661,155811,165209,188891,192765,222061,234060,241131,185447
,Illinois,9.21%,10.71%,12.32%,15.34%,18.09%,20.42%,23.44%,24.80%,25.85%,27.10%,27.50%,37.45%,38.94%,39.96%,40.72%,41.94%,41.49%,43.11%,43.23%,43.58%,44.33%,45.16%,673451,725667,798823,880541,918719,1043949,1025712,1096666,1167963,1199249,941313
,Idaho,11.60%,14.37%,16.97%,19.34%,20.91%,21.77%,24.68%,26.88%,28.04%,27.18%,28.03%,32.31%,36.09%,38.02%,39.30%,40.76%,40.73%,42.12%,42.94%,43.65%,41.75%,42.63%,92581,104479,113105,128051,136563,152143,176969,187500,200844,211734,169086
,Connecticut,10.07%,11.99%,14.19%,16.27%,17.74%,18.97%,21.09%,23.10%,24.84%,24.91%,25.31%,34.22%,35.30%,37.33%,38.93%,39.73%,39.47%,40.78%,41.82%,42.54%,41.11%,41.63%,296621,355439,396917,429096,459873,506824,517774,536427,567500,611134,506220
,Georgia,13.84%,15.57%,18.18%,20.73%,22.76%,22.30%,22.83%,24.23%,25.74%,26.12%,27.72%,35.50%,34.95%,35.69%,38.75%,40.54%,39.59%,39.66%,40.43%,41.31%,41.70%,43.16%,270104,357078,451821,516033,537732,652194,772724,892193,963784,1008442,756006
,Minnesota,15.32%,17.34%,19.73%,21.91%,23.35%,23.21%,25.41%,26.90%,28.27%,29.86%,29.41%,41.54%,42.24%,42.78%,43.50%,43.47%,41.55%,42.40%,42.98%,43.86%,45.02%,44.17%,356875,380413,404932,429949,442162,509506,492732,514920,533119,539707,406864
,Florida,11.94%,13.97%,16.59%,18.52%,18.69%,17.73%,18.07%,20.98%,22.93%,23.92%,25.52%,31.12%,32.69%,33.74%,34.25%,33.13%,31.22%,31.18%,34.22%,35.84%,36.83%,38.40%,440580,521086,568496,608620,672233,916225,1393396,1716993,1888959,2139526,1598661
,Virginia,10.15%,11.78%,14.93%,17.51%,19.15%,20.38%,22.55%,22.70%,23.01%,22.94%,23.67%,34.56%,36.13%,38.19%,39.17%,39.73%,39.25%,40.55%,39.97%,40.85%,41.39%,42.61%,524416,635063,686031,739742,776310,868826,912989,1008784,1041463,1073547,818154
,Kansas,11.67%,14.66%,17.48%,19.38%,20.35%,20.61%,21.98%,23.11%,24.97%,27.44%,28.07%,41.22%,43.06%,43.97%,44.90%,44.43%,43.17%,43.47%,43.48%,44.36%,46.34%,46.50%,109522,120356,129847,138271,145133,161530,165585,201265,221427,236082,195872
,Maine,11.03%,12.62%,16.94%,19.33%,20.11%,19.80%,21.28%,21.65%,22.26%,19.94%,20.39%,29.81%,30.69%,35.48%,36.47%,37.61%,37.94%,39.97%,40.39%,40.91%,39.25%,40.27%,91898,121841,132987,151629,158479,180619,194632,194798,203458,211025,166894
,Texas,12.92%,14.67%,17.53%,19.74%,21.26%,20.25%,21.97%,23.06%,23.13%,24.00%,24.98%,35.59%,36.62%,38.67%,39.95%,40.65%,38.30%,40.63%,41.48%,40.73%,41.31%,42.62%,625298,864890,1024408,1156245,1237933,1611366,1624643,1749718,1990477,2165583,1610849
,Oklahoma,10.53%,16.06%,19.21%,20.60%,20.85%,21.05%,22.25%,22.30%,23.08%,24.33%,25.92%,34.95%,33.31%,39.57%,42.14%,43.63%,43.35%,43.41%,42.55%,43.09%,44.27%,45.36%,132745,184602,222466,244996,252088,269269,277654,315481,346421,359850,268183
,New Jersey,7.80%,9.03%,12.49%,15.24%,17.91%,17.46%,19.04%,19.60%,19.83%,21.45%,23.58%,34.68%,34.33%,34.55%,36.27%,38.20%,35.38%,37.01%,37.42%,37.90%,38.88%,40.57%,121230,166668,262455,333865,367473,498144,572336,668418,745450,789816,572208
,Nebraska,10.23%,11.79%,12.86%,14.47%,16.02%,16.49%,17.83%,19.67%,20.65%,22.47%,23.95%,36.32%,39.68%,38.80%,41.28%,43.24%,43.45%,43.93%,44.61%,44.23%,45.51%,47.37%,53619,65780,101606,119566,129595,144953,153670,163528,185700,195839,146845
,New York,9.39%,11.13%,12.95%,15.07%,16.24%,16.94%,18.69%,19.77%,20.40%,21.04%,22.09%,33.09%,34.45%,35.80%,36.14%,35.90%,35.64%,37.32%,37.88%,37.94%,38.47%,40.13%,758568,862381,977443,1115983,1234599,1541387,1606796,1732142,1870442,1969225,1471122
,Montana,7.82%,9.40%,10.71%,20.21%,24.48%,25.92%,26.62%,23.30%,22.35%,23.03%,22.23%,33.48%,36.16%,37.62%,37.88%,37.83%,36.37%,36.54%,35.37%,36.77%,38.90%,40.88%,40307,45808,50098,53256,55101,60379,61773,79294,100148,105916,80354
,South Dakota,16.20%,18.72%,19.94%,22.00%,22.19%,20.73%,22.04%,23.04%,24.18%,25.86%,27.87%,43.66%,41.98%,39.70%,40.34%,39.45%,37.08%,38.91%,39.61%,39.98%,40.80%,42.16%,45134,51512,59777,63755,67669,77576,76621,78301,79939,81533,61918
,New Mexico,11.34%,12.25%,13.76%,15.46%,13.35%,13.33%,14.40%,15.69%,17.19%,17.28%,17.95%,36.23%,35.35%,36.31%,37.71%,34.17%,33.31%,34.63%,35.54%,36.42%,35.01%,36.18%,88963,108373,124778,136987,142493,157471,164869,173655,179647,187412,141823
,New Hampshire,7.11%,8.69%,11.73%,14.05%,14.88%,15.80%,16.87%,17.30%,18.10%,19.79%,20.73%,33.00%,32.30%,35.72%,37.22%,36.68%,36.86%,37.02%,37.06%,37.55%,38.51%,39.48%,80914,94562,101713,108092,115472,123122,132773,136419,144469,159708,124302
,Arizona,9.05%,9.76%,11.40%,12.89%,13.74%,12.67%,14.62%,16.05%,17.19%,18.05%,17.17%,31.59%,31.24%,33.35%,34.19%,33.48%,29.02%,31.61%,32.22%,32.81%,34.06%,33.72%,118927,150171,163876,176072,187116,253579,270012,306705,341468,367680,266830
,Utah,8.36%,8.69%,9.37%,10.46%,11.01%,17.67%,23.75%,26.04%,26.36%,22.75%,24.87%,28.83%,29.82%,30.55%,30.85%,30.80%,29.89%,29.96%,29.68%,29.78%,25.16%,30.36%,63533,68698,73485,78004,79390,90755,89450,97693,103333,242457,219101
,Oregon,12.65%,14.04%,15.13%,16.07%,16.69%,14.84%,17.38%,18.41%,19.78%,20.51%,20.77%,33.22%,34.69%,35.85%,36.72%,36.93%,32.11%,35.73%,36.79%,37.90%,37.99%,38.26%,222527,243113,272149,295970,306729,402178,368662,385365,398126,414802,321304
,Wyoming,12.27%,13.33%,14.30%,16.44%,17.73%,19.19%,19.68%,18.55%,18.52%,19.19%,20.23%,38.16%,38.39%,39.20%,39.57%,40.43%,39.91%,39.06%,38.12%,37.69%,38.10%,40.47%,20689,22811,25604,28428,29877,32894,35663,41236,45173,51088,37566
,California,9.10%,8.58%,10.22%,11.72%,12.48%,11.76%,13.26%,14.11%,15.15%,16.54%,17.98%,26.95%,26.00%,27.59%,28.89%,28.79%,26.17%,27.04%,27.54%,28.34%,28.85%,30.18%,423885,647119,771428,912340,1032710,1313807,1360961,1495106,1709098,1771829,1271345
,Vermont,6.42%,7.22%,8.57%,11.33%,12.89%,13.35%,12.78%,12.83%,12.93%,13.67%,13.97%,32.51%,32.69%,32.90%,31.94%,32.01%,31.65%,31.30%,32.10%,32.41%,33.04%,33.42%,57577,61320,66038,75780,86045,93700,98953,104225,109494,112641,86195
,Nevada,15.25%,17.28%,18.52%,19.27%,18.06%,15.81%,18.41%,19.32%,19.63%,19.08%,22.12%,32.82%,32.28%,33.23%,34.19%,31.96%,28.05%,31.20%,31.85%,32.25%,29.55%,33.40%,64447,78120,91951,101962,114067,150889,138713,147147,157241,218486,161112
,Colorado,11.38%,12.98%,14.42%,16.59%,18.03%,17.10%,19.36%,18.69%,18.58%,19.31%,19.50%,29.05%,30.69%,32.11%,32.41%,32.64%,29.45%,32.08%,30.92%,31.63%,32.84%,33.86%,218871,248729,277182,310072,331765,432955,436605,476189,553403,571169,436889
,Washington,10.28%,11.09%,15.29%,16.92%,17.36%,15.73%,13.80%,13.48%,14.57%,15.73%,17.16%,34.17%,33.39%,34.64%,35.66%,35.56%,32.85%,31.46%,31.05%,32.90%,34.31%,36.27%,132607,158380,181994,195341,205249,235156,260871,313804,334157,347641,253755
,Alaska,12.11%,11.93%,14.41%,17.03%,16.32%,14.32%,14.67%,14.35%,14.73%,13.77%,15.58%,33.57%,34.07%,34.97%,35.37%,34.30%,31.33%,32.17%,32.07%,31.49%,31.53%,33.53%,1412,1902,2345,2542,2525,2933,3053,3318,3531,3574,2189
,Hawaii,8.09%,9.30%,10.37%,11.10%,11.38%,9.90%,11.37%,12.20%,12.57%,12.56%,12.86%,21.06%,21.94%,22.76%,23.08%,23.06%,20.04%,22.07%,23.10%,23.53%,24.02%,24.70%,94989,103010,108615,115897,118266,150407,141674,149811,157525,161327,116127
,District of Columbia,6.50%,7.14%,8.93%,9.02%,9.74%,6.88%,8.19%,10.02%,10.41%,11.40%,13.10%,22.88%,24.69%,24.67%,24.94%,25.05%,23.88%,27.11%,29.72%,28.45%,29.34%,32.07%,1801,2143,2610,3092,3233,11764,17780,18971,22188,21446,13300
,"Total: Total includes all data under the 65 Years or more bucket, including data from rows not currently displayed.",12.10%,14.50%,17.61%,20.12%,21.51%,21.27%,22.69%,24.00%,24.85%,25.66%,26.60%,36.42%,37.39%,38.72%,39.80%,40.11%,38.56%,39.56%,40.21%,40.52%,40.90%,42.08%,12481753,14732109,16665538,18392155,19679823,23540910,24987661,27347522,29838858,31690617,24452994
"Total: Total includes all data, including data from rows not currently displayed.",Puerto Rico,9.22%,10.18%,13.47%,15.51%,16.43%,14.88%,15.42%,32.01%,34.27%,35.67%,40.00%,26.99%,26.47%,29.58%,30.79%,31.71%,29.48%,29.73%,36.34%,36.76%,37.14%,40.87%,2342,3056,3340,3371,3201,3993,4312,23858,58400,78227,46153
,Ohio,11.58%,15.27%,18.83%,22.61%,23.95%,23.52%,23.97%,25.93%,27.05%,28.65%,30.78%,34.90%,36.61%,37.78%,38.65%,39.46%,38.75%,38.92%,39.38%,40.04%,41.26%,43.87%,5325324,5615863,5840907,6002336,6076994,6750514,6914591,7704071,8072231,8095705,6050717
,Kentucky,11.67%,15.27%,18.83%,20.70%,21.71%,21.18%,23.30%,25.86%,27.13%,28.45%,31.25%,34.59%,37.03%,39.23%,39.87%,40.62%,39.11%,40.04%,41.20%,41.35%,42.23%,44.97%,1357049,1536374,1649528,1734581,1786275,2130787,2253548,2345736,2405323,2403982,1747141
,West Virginia,12.32%,16.74%,21.79%,25.39%,26.01%,23.56%,22.70%,21.49%,23.00%,24.37%,27.33%,35.36%,35.30%,37.37%,39.38%,40.71%,40.35%,40.80%,39.82%,41.31%,43.27%,47.27%,355958,416358,496935,552316,586575,647638,673489,808740,919556,962288,673651
,Pennsylvania,11.36%,13.52%,19.17%,21.69%,22.57%,21.69%,21.77%,22.72%,23.06%,24.76%,26.74%,29.54%,31.60%,33.14%,34.25%,34.91%,34.47%,35.24%,36.00%,36.29%,37.16%,39.48%,4276575,5136708,5843303,6314934,6502874,7576978,7543439,7790122,8013999,7963045,5409683
,Michigan,13.22%,15.27%,18.05%,20.09%,20.72%,22.09%,23.89%,24.53%,24.27%,26.20%,29.77%,33.80%,34.13%,35.12%,35.89%,34.46%,35.19%,36.57%,36.92%,36.24%,38.33%,42.17%,2357593,2679067,2832642,2892439,3601092,3981677,3952681,4088055,4810416,5073267,3668095
,Mississippi,8.89%,10.24%,11.26%,12.28%,15.79%,17.69%,20.07%,23.01%,26.14%,28.46%,32.37%,36.77%,36.36%,35.99%,37.39%,39.22%,38.48%,40.47%,41.91%,42.55%,44.37%,48.06%,540115,600486,761785,969979,990133,1170342,1252840,1311361,1374349,1390555,944685
,Alabama,15.62%,22.99%,26.95%,26.94%,27.99%,24.55%,27.20%,23.61%,23.58%,25.35%,29.33%,38.00%,38.82%,40.19%,39.95%,40.72%,38.51%,40.49%,33.84%,32.75%,33.71%,37.15%,187018,206351,215458,257116,274508,430538,472364,640379,699688,692304,428287
,North Carolina,11.97%,14.82%,17.33%,19.30%,21.02%,19.83%,22.15%,23.42%,23.67%,24.33%,26.67%,33.73%,34.93%,35.57%,36.45%,37.44%,35.02%,36.64%,37.52%,37.88%,38.74%,41.70%,3294923,3604278,3958085,4404741,4527929,5652004,5961230,6296278,6912562,6941335,4962417
,Arkansas,10.97%,12.94%,15.33%,16.65%,18.99%,20.93%,22.33%,25.24%,26.65%,28.35%,32.73%,35.53%,36.21%,36.33%,35.89%,36.06%,35.71%,35.57%,36.36%,36.40%,37.24%,41.17%,485017,586951,639640,719985,760669,861525,845181,856783,885191,876984,573042
,Louisiana,14.01%,18.19%,18.49%,19.18%,19.48%,18.66%,20.05%,21.59%,23.34%,24.98%,27.94%,33.64%,34.23%,34.55%,35.78%,36.51%,35.06%,36.22%,37.15%,38.58%,39.89%,42.77%,1192710,1328036,1502215,1626465,1690215,1924058,2060302,2208945,2340247,2370432,1698254
,North Dakota,12.15%,14.68%,16.91%,18.60%,19.00%,19.23%,19.88%,20.99%,21.84%,23.17%,25.60%,33.99%,34.37%,34.05%,33.93%,33.35%,32.69%,32.69%,33.43%,34.76%,36.25%,39.00%,411976,431119,439352,458538,472201,496168,509133,521554,561680,573152,423941
,Indiana,11.15%,14.75%,18.60%,20.39%,21.00%,19.94%,20.21%,21.64%,22.56%,24.13%,27.08%,34.22%,35.19%,36.36%,37.56%,38.63%,38.72%,39.44%,40.02%,40.10%,41.22%,44.38%,1538889,1708837,1842081,1962414,1993759,2281484,2398420,2468528,2533027,2522995,1747282
,Nova Scotia,,7.14%,6.79%,9.41%,8.97%,,8.24%,10.38%,11.76%,9.84%,,22.48%,25.32%,20.99%,26.47%,22.07%,18.12%,18.68%,20.75%,25.79%,21.31%,28.24%,129,154,162,170,145,138,182,212,221,183,85
,Sonora,,,,,,,,12.36%,17.46%,6.55%,,,,,,42.31%,,32.05%,26.97%,28.57%,32.14%,28.95%,10 or fewer,10 or fewer,10 or fewer,15,26,39,78,89,126,168,38
,Rhode Island,8.31%,10.45%,12.84%,14.61%,15.93%,17.52%,17.80%,18.61%,20.31%,22.64%,25.13%,17.87%,21.00%,22.67%,24.14%,25.42%,25.47%,26.19%,28.89%,28.93%,30.81%,34.80%,387676,438854,453791,470175,453046,491156,538402,578559,652209,626272,434617
,Iowa,12.75%,15.21%,16.53%,16.83%,16.53%,16.47%,17.26%,18.40%,19.93%,23.03%,25.38%,31.86%,33.52%,34.32%,35.00%,35.19%,35.34%,36.20%,36.89%,37.57%,39.50%,42.14%,1106383,1156614,1198516,1240784,1258498,1369815,1387258,1467648,1557185,1672099,1217306
,Delaware,7.72%,10.11%,14.02%,16.39%,17.72%,19.11%,21.10%,21.90%,22.65%,23.41%,24.31%,19.80%,25.22%,28.50%,30.69%,32.34%,33.35%,34.90%,35.92%,36.64%,37.40%,38.55%,200150,258090,292769,322749,332992,380406,396295,427667,443259,463440,321004
,South Carolina,8.99%,11.31%,14.48%,16.53%,17.90%,16.87%,18.28%,19.42%,20.68%,21.46%,23.50%,28.91%,31.19%,33.11%,34.52%,35.60%,34.01%,35.81%,37.41%,38.67%,39.31%,41.79%,1134337,1430879,1559498,1768629,1875329,2441765,2802354,3121736,3275202,3271131,2432058
,Massachusetts,12.88%,13.14%,14.51%,17.69%,19.21%,19.20%,19.70%,20.68%,20.78%,21.87%,24.72%,26.15%,26.10%,28.15%,30.21%,30.56%,29.42%,29.94%,31.35%,31.58%,32.10%,34.75%,1208500,1512773,1798221,1887025,1911262,2159523,2400402,2642876,3049978,3185608,2318496
,Maryland,10.05%,12.57%,15.62%,18.51%,19.30%,18.00%,20.94%,22.09%,22.67%,23.96%,27.75%,32.32%,33.87%,34.39%,35.73%,35.56%,32.55%,36.71%,38.17%,38.85%,40.33%,44.04%,616011,771413,932989,1104062,1222304,1560420,1472950,1514402,1566157,1574569,1027137
,Tennessee,8.71%,9.60%,11.91%,13.96%,16.23%,17.45%,19.00%,20.85%,20.99%,22.57%,26.38%,36.56%,34.40%,36.17%,37.37%,37.47%,36.11%,36.90%,36.99%,35.53%,38.79%,43.40%,429542,574157,662386,708277,745943,887856,949971,1012884,1189692,1381108,900772
,Wisconsin,11.45%,12.35%,13.36%,14.33%,14.93%,15.82%,17.63%,18.94%,20.25%,22.19%,24.35%,31.98%,32.54%,33.19%,33.77%,33.71%,33.96%,35.04%,35.76%,36.29%,37.37%,39.53%,2482340,2566875,2661483,2745251,2846370,3124651,3112603,3160737,3196691,3163530,2321929
,Missouri,9.95%,12.12%,14.34%,15.91%,17.34%,19.26%,20.85%,21.39%,22.16%,23.23%,26.31%,34.84%,36.73%,38.31%,39.59%,40.23%,39.29%,38.59%,39.34%,39.45%,40.39%,44.26%,377022,474734,540037,588158,612398,663640,710114,840187,902766,910513,627054
,Illinois,8.02%,9.54%,10.52%,13.08%,15.40%,17.21%,18.82%,19.64%,20.64%,22.27%,24.82%,29.15%,30.21%,31.04%,32.30%,33.76%,34.06%,35.17%,35.76%,36.60%,38.04%,41.55%,3304571,3521271,3855204,4010880,4104673,4618904,4659528,4865928,5066783,5015597,3436826
,Idaho,8.72%,10.48%,12.01%,13.21%,14.10%,15.14%,17.12%,18.78%,19.65%,20.10%,22.99%,24.16%,26.69%,28.41%,29.73%,30.91%,31.38%,32.53%,33.54%,34.12%,34.00%,36.96%,419033,473671,502853,552074,593094,661649,765625,800814,848247,846796,587511
,Connecticut,9.59%,11.17%,12.89%,14.34%,15.08%,15.40%,17.38%,19.15%,20.51%,21.35%,24.09%,26.75%,28.33%,30.50%,32.05%,32.48%,31.67%,33.65%,34.99%,35.77%,36.14%,39.42%,1417599,1609946,1754022,1860794,1988864,2267581,2208234,2224578,2296102,2344393,1679689
,Georgia,9.73%,11.24%,13.13%,14.98%,17.02%,17.09%,17.77%,19.22%,20.64%,21.93%,26.07%,26.07%,26.95%,28.15%,30.58%,33.10%,33.12%,33.79%,34.97%,36.08%,37.68%,41.89%,1655721,1975819,2403784,2689553,2676663,3132026,3624480,3991975,4223088,4199002,2659046
,Minnesota,11.91%,13.16%,14.70%,16.07%,16.84%,16.95%,18.40%,19.43%,20.74%,22.36%,24.97%,31.60%,31.95%,32.43%,33.00%,33.04%,32.01%,32.95%,33.57%,34.67%,36.26%,38.78%,1861693,1958489,2024748,2097684,2098667,2335821,2233069,2289575,2299089,2255403,1461800
,Florida,10.45%,12.17%,14.14%,15.71%,16.33%,15.49%,15.85%,18.09%,19.93%,21.56%,24.87%,27.06%,28.34%,28.95%,29.46%,29.30%,28.04%,28.18%,31.23%,33.04%,34.78%,37.89%,2061680,2304082,2459079,2563678,2686570,3670963,5400324,6652709,7196621,7707786,5107145
,Virginia,9.33%,10.63%,13.05%,15.20%,16.69%,17.47%,18.94%,19.23%,19.33%,20.04%,23.16%,31.35%,32.81%,34.40%,35.16%,36.14%,35.47%,36.34%,36.45%,37.06%,38.56%,42.28%,2296180,2667038,2810215,2995695,3084289,3492447,3691661,3967997,4056715,4012856,2708087
,Kansas,10.24%,12.59%,14.75%,16.20%,17.12%,17.25%,18.32%,18.97%,20.47%,22.76%,25.35%,34.17%,35.88%,36.67%,37.70%,37.87%,36.81%,37.25%,37.41%,38.59%,40.56%,43.12%,456166,489860,522085,544948,549061,600754,612541,748043,808155,851865,642950
,Maine,9.60%,10.92%,13.88%,15.57%,16.08%,15.86%,17.57%,18.14%,18.96%,18.26%,20.23%,24.69%,26.18%,30.21%,31.65%,32.36%,32.09%,34.39%,35.09%,35.82%,35.51%,38.32%,359726,464646,501545,555224,575801,661444,670919,664258,678890,665398,485279
,Texas,10.61%,12.29%,13.92%,15.31%,16.43%,15.86%,16.99%,18.19%,18.91%,20.24%,22.76%,26.27%,28.11%,29.20%,30.39%,31.82%,31.18%,32.87%,33.95%,34.20%,35.58%,38.47%,4018830,5002977,5877899,6467924,6742150,8675625,8758475,9236681,10105399,10588468,6854741
,Oklahoma,8.92%,13.41%,15.24%,16.03%,16.16%,16.47%,17.33%,17.73%,18.51%,19.83%,22.71%,30.53%,29.88%,34.72%,37.41%,38.84%,38.50%,38.38%,37.60%,38.32%,39.96%,42.90%,542483,755096,926084,996832,1009932,1087412,1142284,1311727,1431269,1461216,961589
,New Jersey,7.63%,8.54%,11.41%,13.63%,15.82%,15.49%,17.08%,17.59%,17.87%,19.61%,23.25%,26.22%,27.32%,29.01%,31.24%,32.86%,30.99%,32.97%,33.85%,34.50%,36.10%,39.18%,594902,767974,1086326,1344054,1477238,1965869,2186388,2497310,2782864,2883339,1881188
,Nebraska,9.83%,11.18%,11.84%,12.97%,13.89%,14.02%,15.03%,16.66%,17.65%,19.41%,22.34%,32.27%,34.63%,33.90%,36.01%,37.58%,37.79%,38.45%,39.25%,39.32%,41.24%,44.55%,233047,280326,399076,456675,485505,543128,569498,591588,663724,692469,481749
,New York,9.57%,10.91%,12.26%,13.85%,14.35%,14.79%,16.88%,18.08%,18.64%,19.75%,22.58%,27.79%,28.78%,29.72%,29.81%,28.90%,28.75%,31.72%,33.07%,33.42%,34.77%,38.33%,3302897,3774996,4236884,4877168,5529447,6927767,6773590,6984271,7372014,7428848,4961905
,Montana,7.04%,8.05%,8.99%,14.83%,17.67%,18.45%,18.88%,17.17%,16.27%,17.06%,18.44%,26.30%,28.06%,29.28%,29.40%,28.84%,27.68%,28.65%,28.58%,30.83%,33.15%,37.02%,196947,215908,226813,235337,242082,267935,269740,323539,383932,394305,263558
,South Dakota,10.58%,12.49%,13.41%,14.77%,14.63%,14.00%,14.98%,16.08%,17.12%,18.73%,21.53%,31.60%,30.78%,29.17%,29.59%,28.94%,27.79%,29.19%,30.04%,30.54%,31.72%,34.26%,268833,287941,316190,327085,342173,381163,373153,371369,376606,375929,263737
