age	geography	time	obesity_dx_ccw	obesity_bmi	diabetes_dx_ccw	diabetes_a1c_6_5	n_patients_chronic
18-25 Years	05107	2023-01-01	20.65	41.29	NA	NA	155
18-25 Years	01033	2023-01-01	NA	36.67	NA	NA	30
18-25 Years	01035	2023-01-01	NA	40.35	NA	NA	57
18-25 Years	05103	2023-01-01	14.76	39.92	1.84	NA	759
18-25 Years	05105	2023-01-01	12.26	34.1	NA	NA	261
18-25 Years	05055	2023-01-01	16.65	37.21	2.89	1.7	1177
18-25 Years	05135	2023-01-01	14	36.67	NA	NA	150
18-25 Years	05031	2023-01-01	16.03	38.1	1.98	1.25	5102
18-25 Years	05037	2023-01-01	25.37	43.58	3.28	NA	335
18-25 Years	01107	2023-01-01	7.6	32.8	NA	NA	250
18-25 Years	05095	2023-01-01	12.09	36.28	NA	NA	215
18-25 Years	05077	2023-01-01	NA	42.62	NA	NA	61
18-25 Years	05021	2023-01-01	20.13	35.85	NA	NA	159
18-25 Years	01085	2023-01-01	NA	NA	NA	NA	NA
18-25 Years	05019	2023-01-01	12.53	37.27	3.01	1.5	998
18-25 Years	01057	2023-01-01	NA	NA	NA	NA	15
18-25 Years	10005	2023-01-01	18.56	37.24	2.47	1.47	7484
18-25 Years	05081	2023-01-01	12.77	40.43	NA	NA	94
18-25 Years	05001	2023-01-01	13.76	37.56	2.87	2.27	836
18-25 Years	05035	2023-01-01	10.54	32.92	1.71	1.08	1756
18-25 Years	01125	2023-01-01	11.49	31.92	3.77	2.82	1062
18-25 Years	05091	2023-01-01	16.46	38.26	4.6	3.39	413
18-25 Years	01103	2023-01-01	NA	NA	NA	NA	47
18-25 Years	01019	2023-01-01	14.77	36.36	NA	NA	88
18-25 Years	02060	2023-01-01	NA	NA	NA	NA	NA
18-25 Years	05127	2023-01-01	13.49	41.27	NA	NA	126
18-25 Years	05141	2023-01-01	16.13	36.56	6.45	NA	186
18-25 Years	05039	2023-01-01	23.14	38.02	NA	NA	121
18-25 Years	06035	2023-01-01	7.33	19.33	NA	NA	150
18-25 Years	05049	2023-01-01	NA	NA	NA	NA	43
18-25 Years	01093	2023-01-01	18.09	35.93	NA	NA	398
18-25 Years	02185	2023-01-01	NA	NA	NA	NA	NA
18-25 Years	05117	2023-01-01	16.31	34.33	NA	NA	233
18-25 Years	05125	2023-01-01	15.19	35.34	2.59	1.46	3087
18-25 Years	05033	2023-01-01	12.34	35.86	2.12	1.62	1977
18-25 Years	01059	2023-01-01	NA	28.99	NA	NA	69
18-25 Years	02016	2023-01-01	NA	NA	NA	NA	NA
18-25 Years	02188	2023-01-01	NA	NA	NA	NA	NA
18-25 Years	05057	2023-01-01	15.66	41.41	6.57	NA	198
18-25 Years	01045	2023-01-01	10.18	33.86	2.35	NA	511
18-25 Years	08025	2023-01-01	25.49	39.22	NA	NA	51
18-25 Years	04027	2023-01-01	NA	19.85	NA	NA	131
18-25 Years	01075	2023-01-01	9.52	35.98	NA	NA	189
18-25 Years	05059	2023-01-01	14.27	34.15	2.92	NA	855
18-25 Years	01013	2023-01-01	NA	NA	NA	NA	16
18-25 Years	01069	2023-01-01	9.99	36.15	2.09	1.07	2152
18-25 Years	01065	2023-01-01	NA	38.6	NA	NA	57
18-25 Years	08075	2023-01-01	9.72	29.86	NA	NA	144
18-25 Years	01031	2023-01-01	10.77	34.51	2.95	1.77	678
18-25 Years	01067	2023-01-01	6.39	30.14	NA	NA	219
18-25 Years	01007	2023-01-01	NA	46.15	NA	NA	26
18-25 Years	01105	2023-01-01	NA	NA	NA	NA	NA
18-25 Years	05131	2023-01-01	14.13	36.21	2.4	1.33	3828
18-25 Years	05085	2023-01-01	14.01	36.27	2.57	1.29	2255
18-25 Years	01039	2023-01-01	14.86	32.43	NA	NA	74
