age	county	bmi_30_49.8	obesity_(%)	n_obesity_county	Year
18-24 Years	FERRY, WA	NA	NA	5	1/1/2025 - 10/30/2025
18-24 Years	CLARK, WI	23.87%	NA	155	1/1/2025 - 10/30/2025
18-24 Years	SAWYER, WI	24.13%	10.43%	460	1/1/2025 - 10/30/2025
18-24 Years	POLK, WI	22.16%	10.27%	555	1/1/2025 - 10/30/2025
18-24 Years	COLUMBIA, WI	21.71%	7.37%	1465	1/1/2025 - 10/30/2025
18-24 Years	TAYLOR, WI	24.62%	NA	65	1/1/2025 - 10/30/2025
18-24 Years	ISLAND, WA	27.36%	7.73%	815	1/1/2025 - 10/30/2025
18-24 Years	VERNON, WI	22.47%	7.01%	1099	1/1/2025 - 10/30/2025
18-24 Years	RICHLAND, WI	25.32%	10.06%	308	1/1/2025 - 10/30/2025
18-24 Years	CABELL, WV	34.59%	15.87%	2767	1/1/2025 - 10/30/2025
18-24 Years	VILAS, WI	NA	NA	55	1/1/2025 - 10/30/2025
18-24 Years	SAINT CROIX, WI	18.99%	9.58%	616	1/1/2025 - 10/30/2025
18-24 Years	IRON, WI	24.00%	NA	75	1/1/2025 - 10/30/2025
18-24 Years	MILWAUKEE, WI	32.06%	15.21%	38677	1/1/2025 - 10/30/2025
18-24 Years	CARBON, WY	34.15%	12.80%	164	1/1/2025 - 10/30/2025
18-24 Years	BIG HORN, WY	27.27%	NA	110	1/1/2025 - 10/30/2025
