Session Title,OBESITY by ICD and BMI County Age 2025,,,
Session ID,2776887,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States AL-DE,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"PERRY, AL",-,-,10 or fewer
,"SOUTHEAST FAIRBANKS, AK",-,-,10 or fewer
,"TOLLAND, CT",22.87%,11.56%,4324
,"SAN BENITO, CA",28.43%,13.88%,598
,"HAINES, AK",-,-,10 or fewer
,"SKAGWAY, AK",-,-,10 or fewer
,"SHASTA, CA",24.76%,6.21%,1062
,"KINGS, CA",36.35%,19.88%,996
,"HUERFANO, CO",30.23%,-,43
,"HOWARD, AR",41.46%,18.29%,82
,"KERN, CA",36.36%,20.40%,16256
,"COCHISE, AZ",32.63%,11.67%,377
,"FREMONT, CO",25.48%,12.26%,310
,"SAN JOAQUIN, CA",30.05%,16.03%,8037
,"MODOC, CA",31.82%,-,44
,"APACHE, AZ",39.39%,-,33
,"MESA, CO",25.31%,10.65%,3766
,"YUBA, CA",35.37%,12.44%,410
,"MONTEREY, CA",32.12%,25.83%,13495
,"DELTA, CO",31.32%,8.79%,182
,"WELD, CO",27.73%,10.68%,12443
,"MOHAVE, AZ",16.30%,-,135
,"LIMESTONE, AL",15.49%,-,71
,"DEL NORTE, CA",25.69%,9.57%,397
,"CLEVELAND, AR",34.21%,14.47%,76
,"STONE, AR",29.79%,-,47
,"TEHAMA, CA",29.95%,6.60%,197
,"LINCOLN, CO",38.24%,-,34
,"FAIRFIELD, CT",21.85%,12.28%,16542
,"KODIAK ISLAND, AK",29.57%,10.00%,230
,"DENALI, AK",-,-,10 or fewer
,"PIMA, AZ",30.69%,21.03%,19997
,"MADISON, AL",14.46%,-,249
,"POLK, AR",28.57%,-,84
,"ELBERT, CO",23.30%,9.50%,558
,"JEFFERSON, AL",23.46%,3.70%,405
,"JACKSON, CO",-,-,21
,"TULARE, CA",37.61%,23.33%,3236
,"BACA, CO",-,-,25
,"CHEYENNE, CO",-,-,15
,"YUMA, CO",29.85%,-,67
,"RIVERSIDE, CA",28.05%,12.51%,41826
,"VALDEZ CORDOVA, AK",-,-,10 or fewer
,"TRINITY, CA",-,-,36
,"SANTA CRUZ, AZ",20.18%,15.60%,218
,"HUMBOLDT, CA",25.62%,9.02%,4634
,"SANTA BARBARA, CA",27.70%,14.77%,2722
,"LAKE, CA",27.56%,10.07%,606
,"NAPA, CA",27.43%,17.86%,2038
,"RIO BLANCO, CO",-,-,40
,"SHELBY, AL",18.75%,-,160
,"DILLINGHAM, AK",-,-,10 or fewer
,"ADAMS, CO",28.36%,10.58%,13519
,"FAIRBANKS NORTH STAR, AK",22.75%,-,189
,"RIO GRANDE, CO",26.15%,-,65
,"PLUMAS, CA",14.02%,-,107
,"KIT CARSON, CO",29.31%,-,58
,"GARLAND, AR",34.77%,14.80%,581
,"CALAVERAS, CA",18.37%,11.22%,98
,"SAN BERNARDINO, CA",26.16%,15.43%,21334
,"CONEJOS, CO",-,-,28
,"COSTILLA, CO",-,-,11
,"SIERRA, CA",-,-,21
,"ALAMOSA, CO",31.43%,-,70
,"SOLANO, CA",27.31%,13.32%,4969
,"MONTROSE, CO",26.67%,11.67%,180
,"TELLER, CO",18.82%,6.45%,558
,"SAN DIEGO, CA",20.64%,8.76%,95759
,"KENAI PENINSULA, AK",-,-,41
,"EL PASO, CO",23.02%,8.25%,25301
