Session Title,Number of Patients and Percentage with Has Any Encounters? preceded by Immunizations: pneumoc within 5 years by Age at Encounter in Years Range and County of Residence,,
Session ID,2807396,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Days Since Last Immunization Registry Query: any,"State of Residence: California, Connecticut, Georgia, Tennessee, Minnesota, Oregon, New Mexico, Maryland, New York, Colorado",Has Any Encounters?
Session Date Range,1/1/2023 - 12/31/2025,,
Export User,Daniel Weinberger,,
Date of Export,3/25/2026,,
,,,
,,,
,Measures,Number of Patients,Percentage with Has Any Encounters? preceded by Immunizations: pneumoc within 5 years (%)
Age at Encounter in Years,County of Residence,,
,"COLFAX, NM",10 or fewer,-
,"TOOMBS, GA",45,80.00%
,"GILLIAM, OR",24,66.67%
,"ATKINSON, GA",26,73.08%
,"BACA, CO",26,65.38%
,"PUTNAM, TN",25,68.00%
,"ANDERSON, TN",14,-
,"MITCHELL, GA",56,87.50%
,"WARREN, TN",40,60.00%
,"BLECKLEY, GA",48,79.17%
,"SHERMAN, OR",40,70.00%
,"COLUSA, CA",81,71.60%
,"OURAY, CO",13,-
,"JENKINS, GA",41,60.98%
,"WARREN, GA",39,61.54%
,"WILKINSON, GA",56,87.50%
,"GRANT, NM",10 or fewer,-
,"CHEATHAM, TN",24,54.17%
,"TALBOT, GA",30,66.67%
,"LEA, NM",34,79.41%
,"ROANE, TN",25,72.00%
,"COSTILLA, CO",24,79.17%
,"SCREVEN, GA",27,66.67%
,"SEMINOLE, GA",35,48.57%
,"VAN BUREN, TN",17,-
,"SEDGWICK, CO",19,73.68%
,"PULASKI, GA",31,96.77%
,"CRAWFORD, GA",33,81.82%
,"PIERCE, GA",21,90.48%
,"JACKSON, CO",40,67.50%
,"IRWIN, GA",18,83.33%
,"CLAY, GA",14,-
,"MACON, GA",37,78.38%
,"DODGE, MN",10 or fewer,-
,"WASECA, MN",10 or fewer,-
,"BRANTLEY, GA",23,100.00%
,"TURNER, GA",39,74.36%
,"TAYLOR, GA",29,89.66%
,"WAYNE, GA",24,70.83%
,"SAGUACHE, CO",16,68.75%
,"WHITE, TN",18,66.67%
,"JOHNSON, GA",24,83.33%
,"DOOLY, GA",29,75.86%
,"GUADALUPE, NM",10 or fewer,-
,"TATTNALL, GA",23,82.61%
,"SIERRA, CA",10 or fewer,-
,"HOUSTON, TN",50,62.00%
,"KIOWA, CO",17,64.71%
,"ALPINE, CA",10 or fewer,-
,"WILCOX, GA",25,92.00%
,"APPLING, GA",23,69.57%
,"TALIAFERRO, GA",20,80.00%
,"GLASCOCK, GA",37,62.16%
,"ROBERTSON, TN",13,84.62%
,"PERRY, TN",27,55.56%
,"TELFAIR, GA",29,72.41%
,"MARION, GA",18,88.89%
,"TWIGGS, GA",16,81.25%
,"JEFF DAVIS, GA",13,-
,"CHEYENNE, CO",15,80.00%
,"UNION, NM",12,-
,"CANDLER, GA",14,78.57%
,"TERRELL, GA",31,77.42%
,"STEWART, TN",12,-
,"MCINTOSH, GA",10 or fewer,-
,"BACON, GA",12,-
,"MILLER, GA",13,-
,"BEDFORD, TN",12,-
,"CALHOUN, GA",16,75.00%
,"QUITMAN, GA",10 or fewer,-
,"LONG, GA",10 or fewer,-
,"EVANS, GA",11,-
,"MONTGOMERY, GA",17,76.47%
,"WAYNE, TN",10 or fewer,-
,"MORA, NM",10 or fewer,-
,"TREUTLEN, GA",13,92.31%
,"FENTRESS, TN",10 or fewer,-
