Session Title,Heat Opioid OD Firearm ED visits 2022-2025,,,,,
Session ID,2782575,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2022 - 11/12/2025,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,12/8/2025,,,,,
,,,,,,
,,,,,,
,,Diagnosis (Encounter),OPIOID OD,Heat,firearms initial,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence,Age at Encounter in Years,Year,,,,
,65 Years or more,Jan 1 – Dec 31 2022,101,85,11,114295
,,Jan 1 – Dec 31 2023,151,102,10 or fewer,157932
,,Jan 1 – Dec 31 2024,168,166,13,192343
,,Jan 1 – Nov 12 2025,190,204,10 or fewer,180149
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,10 or fewer,1100
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,1271
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,2070
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,2332
,"Total: Total includes all data under the New Jersey bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,936,308,258,502189
,,Jan 1 – Dec 31 2023,1222,403,297,693175
,,Jan 1 – Dec 31 2024,1397,582,296,864683
,,Jan 1 – Nov 12 2025,1288,745,224,785413
Colorado,Less than 15 Years,Jan 1 – Dec 31 2022,16,39,25,175657
,,Jan 1 – Dec 31 2023,10 or fewer,35,21,173228
,,Jan 1 – Dec 31 2024,10 or fewer,44,16,181878
,,Jan 1 – Nov 12 2025,10 or fewer,44,10 or fewer,167654
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,191,68,224,92061
,,Jan 1 – Dec 31 2023,166,48,214,94868
,,Jan 1 – Dec 31 2024,138,80,190,105785
,,Jan 1 – Nov 12 2025,134,76,150,96194
